# Ag,Au,Cu,Ir,Pd,Pt,Rh,Ru,Sd
0.044539,0.058882,0.240787,0.044860,0.211783,0.122025,0.061283,0.215840,0.602793
0.120533,0.139349,0.097236,0.160497,0.044262,0.105856,0.262396,0.069870,0.635376
0.181447,0.089846,0.213700,0.036159,0.267948,0.125376,0.065218,0.020306,0.518231
0.043991,0.134693,0.087330,0.214795,0.111659,0.064451,0.159926,0.183153,0.643134
0.042875,0.043023,0.009413,0.189014,0.170381,0.121825,0.216676,0.206794,0.765710
0.164149,0.243486,0.057723,0.031385,0.075645,0.016009,0.148954,0.262649,0.598138
0.015364,0.047684,0.176583,0.364676,0.123458,0.198074,0.016234,0.057928,0.885958
0.183188,0.179194,0.000917,0.176724,0.118666,0.161147,0.084432,0.095731,0.827773
0.152135,0.207537,0.043461,0.009328,0.095832,0.219306,0.062819,0.209581,0.754073
0.203926,0.019743,0.141416,0.093299,0.182529,0.037246,0.145626,0.176215,0.027153
0.183644,0.132831,0.096656,0.120116,0.168925,0.110933,0.005908,0.180987,0.680372
0.170248,0.167035,0.053251,0.162682,0.097247,0.160793,0.026318,0.162425,0.770365
0.185409,0.008944,0.181283,0.075489,0.161540,0.145147,0.105192,0.136996,0.451513
0.172909,0.079542,0.064366,0.131395,0.158999,0.150032,0.157025,0.085731,0.722265
0.250027,0.036750,0.166461,0.001761,0.099232,0.112034,0.121117,0.212617,0.198604
0.128654,0.148565,0.078652,0.123586,0.075250,0.024236,0.199806,0.221250,0.447634
0.167826,0.125565,0.102888,0.233886,0.140625,0.129815,0.006947,0.092448,0.747867
0.079262,0.083145,0.120953,0.111244,0.126734,0.159461,0.169489,0.149712,0.720714
0.245439,0.004683,0.050288,0.001943,0.166313,0.230671,0.062542,0.238121,0.683476
0.021659,0.335819,0.126367,0.036449,0.174613,0.092281,0.102378,0.110434,0.768037
0.211990,0.142333,0.082182,0.161121,0.189056,0.071970,0.109172,0.032177,0.671063
0.056456,0.212274,0.056546,0.163670,0.220978,0.033309,0.176806,0.079959,0.746315
0.191350,0.096089,0.160165,0.109340,0.008627,0.125818,0.189060,0.119551,0.415050
0.166997,0.180251,0.046496,0.043227,0.124552,0.083791,0.171211,0.183475,0.643134
0.096694,0.064806,0.213546,0.075185,0.225062,0.115932,0.182637,0.026138,0.589604
0.166701,0.120717,0.156748,0.044895,0.196900,0.230548,0.057915,0.025576,0.740884
0.006690,0.181682,0.171811,0.154718,0.065642,0.110629,0.168240,0.140588,0.641583
0.195478,0.027001,0.137566,0.080013,0.084739,0.142009,0.137030,0.196165,0.521334
0.044758,0.036292,0.252501,0.201623,0.095571,0.027685,0.029860,0.311710,0.287044
