# Ag_b,Pd_b,Pt_b,Ru_b,Ag_f,Pd_f,Pt_f,Ru_f,Ag_f3,Pd_f3,Pt_f3,Ru_f3,S_d
0.20,0.50,0.20,0.10,0.23,0.58,0.19,0.00,0.22,0.48,0.23,0.07,0.4783
0.20,0.50,0.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.50,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.40,0.40,0.00,0.20,0.42,0.38,0.00,0.20,0.39,0.41,0.00,0.8783
0.20,0.40,0.30,0.10,0.21,0.45,0.34,0.00,0.21,0.40,0.33,0.07,0.5833
0.20,0.40,0.20,0.20,0.24,0.53,0.23,0.00,0.22,0.40,0.23,0.15,0.3867
0.20,0.40,0.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.40,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.30,0.50,0.00,0.20,0.31,0.49,0.00,0.20,0.29,0.51,0.00,0.9367
0.20,0.30,0.40,0.10,0.22,0.33,0.45,0.00,0.21,0.29,0.43,0.07,0.6250
0.20,0.30,0.30,0.20,0.24,0.35,0.41,0.00,0.21,0.30,0.34,0.14,0.5150
0.20,0.30,0.20,0.30,0.28,0.43,0.29,0.00,0.23,0.31,0.25,0.21,0.3833
0.20,0.30,0.10,0.40,0.20,0.57,0.23,0.00,0.22,0.35,0.16,0.27,0.1967
0.20,0.30,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.20,0.60,0.00,0.20,0.21,0.59,0.00,0.21,0.20,0.59,0.00,0.9683
0.20,0.20,0.50,0.10,0.21,0.20,0.59,0.00,0.21,0.20,0.52,0.07,0.6417
0.20,0.20,0.40,0.20,0.25,0.24,0.51,0.00,0.21,0.21,0.44,0.14,0.5317
0.20,0.20,0.30,0.30,0.31,0.29,0.40,0.00,0.22,0.22,0.35,0.20,0.4267
0.20,0.20,0.20,0.40,0.28,0.37,0.34,0.01,0.22,0.24,0.28,0.27,0.2833
0.20,0.20,0.10,0.50,0.26,0.48,0.26,0.00,0.23,0.27,0.20,0.30,0.1150
0.20,0.20,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.10,0.70,0.00,0.20,0.11,0.69,0.00,0.20,0.10,0.70,0.00,0.9767
0.20,0.10,0.60,0.10,0.21,0.10,0.69,0.00,0.21,0.11,0.62,0.07,0.6650
0.20,0.10,0.50,0.20,0.23,0.13,0.64,0.00,0.21,0.11,0.54,0.14,0.5517
0.20,0.10,0.40,0.30,0.28,0.15,0.57,0.00,0.22,0.11,0.46,0.20,0.4150
0.20,0.10,0.30,0.40,0.31,0.17,0.52,0.00,0.22,0.12,0.39,0.27,0.3133
0.20,0.10,0.20,0.50,0.33,0.21,0.45,0.01,0.23,0.12,0.31,0.34,0.2417
0.20,0.10,0.10,0.60,0.44,0.28,0.28,0.00,0.24,0.14,0.26,0.36,0.1000
0.20,0.10,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.20,0.00,0.80,0.00,0.20,0.00,0.80,0.00,0.20,0.00,0.80,0.00,0.9817
0.20,0.00,0.70,0.10,0.20,0.00,0.80,0.00,0.21,0.00,0.72,0.07,0.6667
0.20,0.00,0.60,0.20,0.25,0.00,0.75,0.00,0.21,0.00,0.65,0.14,0.5817
0.20,0.00,0.50,0.30,0.30,0.00,0.70,0.00,0.22,0.00,0.58,0.20,0.4217
0.20,0.00,0.40,0.40,0.29,0.00,0.70,0.01,0.22,0.00,0.51,0.27,0.3400
0.20,0.00,0.30,0.50,0.40,0.00,0.55,0.05,0.23,0.00,0.43,0.34,0.2617
0.20,0.00,0.20,0.60,0.43,0.00,0.49,0.08,0.24,0.00,0.38,0.39,0.2017
